tmnode_id_cong,embarcadero_cong,pacheights_cong,stanford_cong
0,4011.7980957,4500.0,1768.84204102
1,2347.44995117,4500.0,248.878997803
2,2336.66699219,4500.0,216.875
3,4152.19482422,4011.7800293,4500.0
4,3224.00488281,4500.0,981.04901123
5,4139.6640625,3999.24902344,4500.0
6,3527.96899414,3526.85693359,4500.0
7,4500.0,4500.0,4500.0
8,4500.0,4500.0,4500.0
9,2475.13793945,2334.72290039,4500.0
10,2465.87988281,2325.46508789,4500.0
11,2489.05004883,2348.63500977,4500.0
12,4500.0,4500.0,4500.0
13,3875.84790039,4500.0,1498.35400391
14,3448.77392578,4500.0,1060.88696289
15,3859.67700195,4500.0,1514.52502441
16,3452.43798828,4500.0,1026.65002441
17,4268.14501953,4127.72998047,4500.0
18,2540.63500977,4500.0,4500.0
19,3873.60009766,4500.0,1494.08605957
20,3894.25,4500.0,4500.0
21,2141.53588867,4500.0,4500.0
22,3286.37304688,4500.0,2004.68005371
23,4500.0,4500.0,4500.0
24,3300.59204102,4500.0,2017.56103516
25,3318.48999023,4500.0,930.603027344
26,4500.0,4500.0,2433.51000977
27,1301.3170166,4500.0,4500.0
28,1230.67004395,4500.0,4500.0
29,4500.0,4500.0,3847.15698242
30,4500.0,4500.0,3852.64208984
31,1816.28503418,4500.0,4500.0
32,3306.00805664,4500.0,2022.97705078
33,829.445007324,4500.0,4500.0
34,3804.28588867,4500.0,1561.32995605
35,474.29901123,4500.0,4500.0
36,1743.81604004,4500.0,1465.96899414
37,996.710021973,4500.0,4500.0
38,3143.11401367,4500.0,4500.0
39,1512.65405273,4500.0,4500.0
40,2188.58203125,2048.16699219,4500.0
41,4500.0,4500.0,4500.0
42,2054.02709961,4500.0,4500.0
43,4500.0,4500.0,3450.36401367
44,1994.3079834,4500.0,4500.0
45,2012.18603516,4500.0,4500.0
46,851.390991211,4500.0,4500.0
47,3928.02587891,4500.0,1685.06994629
48,3852.98706055,4500.0,1496.05395508
49,4500.0,4500.0,4500.0
50,2375.57910156,4500.0,4500.0
51,2698.7800293,4500.0,4500.0
52,2434.75,4500.0,4500.0
53,1364.39099121,4500.0,4500.0
54,3587.09106445,4500.0,1161.86096191
55,1005.17498779,4500.0,4500.0
56,3738.90991211,4500.0,1351.02294922
57,4500.0,4500.0,4500.0
58,4500.0,4500.0,3245.98803711
59,4500.0,4500.0,4500.0
60,3046.1809082,4500.0,1814.53503418
61,3421.96704102,4500.0,1179.01098633
62,4500.0,4500.0,4500.0
63,4500.0,4500.0,4500.0
64,736.806030273,4500.0,4500.0
65,4500.0,4500.0,4500.0
66,3486.86791992,4500.0,1243.9119873
67,3486.55810547,4500.0,1243.60205078
68,2790.4140625,2649.99902344,4500.0
69,4500.0,4500.0,4500.0
70,355.858001709,4500.0,4500.0
71,2656.39404297,4500.0,413.437988281
72,1958.69494629,4500.0,1135.57495117
73,4500.0,4500.0,4500.0
74,870.552001953,4500.0,4500.0
75,3534.51000977,4500.0,1291.55395508
76,2263.78491211,4500.0,4500.0
77,3164.92700195,4500.0,1881.89599609
78,2523.60595703,2383.19091797,4500.0
79,3204.42700195,4500.0,1921.39599609
80,3167.31591797,4500.0,1884.28503418
81,4019.9440918,4500.0,4500.0
82,3967.93798828,4500.0,4500.0
83,3529.0390625,4500.0,1286.08300781
84,3657.10302734,4500.0,1401.55505371
85,2288.68188477,4500.0,4500.0
86,3375.76000977,4500.0,1132.80395508
87,3501.51489258,4500.0,1258.55895996
88,3442.73193359,4500.0,1038.14196777
89,3220.63793945,4500.0,1937.60705566
90,3224.31103516,4500.0,1941.2800293
91,3224.02807617,4500.0,1940.99694824
92,4405.57324219,4265.15820312,4500.0
93,3405.84912109,4500.0,1162.89294434
94,2639.05688477,4500.0,1908.81494141
95,3212.83496094,4500.0,764.458007812
96,3209.00805664,4500.0,760.630981445
97,3313.95092773,4500.0,2053.74902344
